node,stake
0,56194518277581
1,58365226523942
2,50558332650219
3,50791973534528
4,44385479558942
5,52895646916976
6,50559860945587
7,48575509773770
8,49161310552830
9,48209209786264
10,58400159436067
11,58485436293145
12,58245213735804
13,45933621614904
14,50644777934416
15,51020571006109
16,58518809401035
17,47386529001491
18,40960317247561
19,45566010308436
20,42480248620441
21,47304128349863
22,41016856357672
23,48533991012553
24,58660520450092
25,57296109493583
26,44548074438731
27,38970193246790
28,29867890682557
29,35043225610042
30,41166299589664
31,58841528133366
32,43300677281481
33,49210988394606
34,35425675248372
35,39561185276933
36,41064597320584
37,34608859751479
38,34889054522099
39,31063525774882
40,37944690442448
41,38597791992993
42,24421011650916
43,49984982471719
44,32534101530815
45,33918656314046
46,32508866699472
47,31632197079806
48,29547599782778
49,33139857715310
50,35459653785907
51,25865755158840
52,26240139360564
53,36428398148040
54,45570643662341
55,29706404311378
56,24079087294199
57,22971735773472
58,23078082379861
59,24020615764077
60,46363997470952
61,26017729676434
62,21048582166865
63,20691306480630
64,25601760831407
65,30588501311135
66,24410328603018
67,27945053094106
68,44667757980703
69,19837277287150
70,34885670227535
71,23174343467570
72,20569954908529
73,20282964722245
74,31373887957522
75,56733813847728
76,16181335752599
77,21075553986396
78,34721730538936
79,42372103818464
80,18560219379939
81,21786509309141
82,26892198332401
83,35106656526271
84,37899657618746
85,15607452421382
86,41242336210220
87,13183733677740
88,6816565452188
89,22925109807304
90,53804202846845
91,12706002200577
92,28508384964170
93,8841308219819
94,21481475544503
95,10931393951218
96,55649420052557
97,20547914719130
98,47037309489594
99,19460036438238
100,17982667392670
101,38475456858148
102,17072618495595
103,24616234629567
104,59651628376691
105,34908779793962
106,9824885476202
107,35575138357197
108,36941973317796
109,32154346805700
110,41937975768675
111,40488794553244
112,56996189811443
113,24537534799923
114,16259611448770
115,9496424738841
116,35816428144817
117,12650576059141
118,17057164243158
119,6065215331251
120,36096122124079
121,12256489153357
122,15723962593830
123,20763796120684
124,33005911314238
125,44246689020391
126,9862186363516
127,21186582215032
128,58484030970135
129,9916293189186
130,10922233705133
131,33168500085111
132,9270273340692
133,16483554023645
134,24227071867313
135,7103679542288
136,6170401923039
137,8169809236261
138,9376039529963
139,29021029251348
140,11006236245882
141,10051492741190
142,6975662317469
143,36677223704759
144,38181535888773
145,10141490662910
146,14603858552733
147,17439381434700
148,10750870346974
149,11785008328450
150,44055455911468
151,15209206264411
152,48005865556459
153,37447323585959
154,19320750744746
155,26419853201861
156,32736792402756
157,13758442319906
158,14032987316412
159,18327171414742
160,29498796424706
161,8413502710612
162,10941481622582
163,30345067603588
164,32006872687414
165,6565500183835
166,7683598641649
167,23699579153719
168,22124883497011
169,15690832665004
170,6789521278847
171,26236661011822
172,6319901458132
173,24185444109126
174,12646264169124
175,15286751750209
176,9378093993579
177,15651328925807
178,19689617873708
179,50564750482857
180,29102394461886
181,33018417865312
182,5516508097281
183,13420732424915
184,10943052390605
185,20390744954883
186,21129139412171
187,16067241115996
188,34456977396581
189,16406486412651
190,6930195130222
191,9661162844043
192,3188680634951
193,19048690123356
194,16812690333306
195,15734116467952
196,7395274304087
197,17158767659594
198,52310058386843
199,6407388053647
200,16471722116700
201,45561121069276
202,11394135844325
203,8610638220331
204,6288533186957
205,14221700715181
206,24820743380147
207,31506543398347
208,19754478626386
209,22541622380148
210,41823311995582
211,50802367089367
212,9141373050281
213,33106532471864
214,22755811461889
215,3595059375684
216,40504721185879
217,32665372579143
218,17004404306323
219,30504519674980
220,8769194251907
221,19379813599637
222,22169274528667
223,11774383801909
224,5627899336622
225,3942437552109
226,25903705563708
227,12291432089679
228,12333993279815
229,18556314839503
230,7184129400509
231,24839410023348
232,15323029492008
233,59912418708126
234,10248004349151
235,7268105961446
236,7318727885097
237,59625864649660
238,10840088165256
239,21069764815337
240,16326561626228
241,14652522551167
242,5930044209131
243,7544127661723
244,12727512490405
245,57002082893830
246,15892789840861
247,7136754641885
248,22116643617554
249,6093171383103
250,18229498407571
251,48962004593784
252,7852517101041
253,6730886554076
254,6112817523208
255,7916048997107
256,54816973421878
257,43781941516779
258,5873626047437
259,6369638987430
260,27556803753014
261,6676959816894
262,7532313680511
263,11403709061665
264,8443743395187
265,5099408487173
266,15449504269314
267,14015405603433
268,12507180201248
269,15866805240828
270,15659500647748
271,7236958595969
272,7887270131143
273,49405134586893
274,20193611035143
275,57507966658918
276,8747651654343
277,60726957493912
278,15220832230142
279,8558305455675
280,16477889592524
281,36083292480037
282,18453421868458
283,19066960484424
284,28288770092561
285,45725879131411
286,31676163274130
287,7661422832428
288,51360185743405
289,9406335993365
290,11219134987137
291,39982520887977
292,33105663974902
293,5270854334896
294,39248300563148
295,57634928627141
296,6351317212406
297,8793862748760
298,19129416612412
299,24655791452838
300,4394481716193
301,9862828929925
302,27747561225953
303,18915411049697
304,38908531303575
305,15937667766510
306,62993873747239
307,43783203102968
308,14213419015462
309,19722726458674
310,27639657795710
311,13834304662893
312,17549167427682
313,34955308650183
314,49576273629534
315,23087012361770
316,26263224757250
317,38500042724796
318,63036656149787
319,5130979360624
320,6221577575507
321,24027130660362
322,7548178236984
323,52897496265943
324,16652902552034
325,4507453429573
326,63617123074606
327,14683781128717
328,62771780930524
329,50222876079016
330,18492370558098
331,65295463147650
332,47133656834075
333,47436398443202
334,39838955654414
335,41519186571740
336,7606843060107
337,35509952459531
338,4893439693300
339,33729684530094
340,8234770078662
341,17400509314798
342,65597516279774
343,65431442518112
344,13232394343325
345,4538012511251
346,8803446941817
347,4200207889500
348,5003845749030
349,4743133412044
350,4570736378349
351,30779812602967
352,4499793047952
353,4541038404852
354,54342352062277
355,4336122283892
356,4422561745728
357,4571618655340
358,4352463777973
359,4707936023504
360,57877576291171
361,33992963704919
362,32304253531686
363,24515628287067
364,24108546565792
365,21249496041085
366,20842156115003
367,21559124755652
368,20417195410484
369,20411434690912
370,3948127693841
371,33227463283628
372,4388625895101
373,22160068944019
374,55320554266003
375,4200750838190
376,34139936900048
377,7960697345753
378,325837201242
379,48821592317753
380,4417388769593
381,3900281544555
382,8020355826283
383,15256894754285
384,19719382252106
385,21248594626378
386,4826042284570
387,4276880039045
388,5994580000367
389,15504843713364
390,49747975617256
391,12582033896112
392,4146795349689
393,6600968043218
394,14674260871381
395,52317787998650
396,44761472061008
397,57440155676155
398,3862252217232
399,58080287498902
400,64854497454984
401,3323280823241
402,3097666982321
403,3784865117675
404,61421098311936
405,3552856233563
406,3999669455277
407,54689181123968
408,3545313831935
409,56608103411089
410,38111244421359
411,3676883645750
412,15510114442913
