node,stake
0,5619451
1,5836522
2,5055833
3,5079197
4,4438547
5,5289564
6,5055986
7,4857550
8,4916131
9,4820920
10,5840015
11,5848543
12,5824521
13,4593362
14,5064477
15,5102057
16,5851880
17,4738652
18,4096031
19,4556601
20,4248024
21,4730412
22,4101685
23,4853399
24,5866052
25,5729610
26,4454807
27,3897019
28,2986789
29,3504322
30,4116629
31,5884152
32,4330067
33,4921098
34,3542567
35,3956118
36,4106459
37,3460885
38,3488905
39,3106352
40,3794469
41,3859779
42,2442101
43,4998498
44,3253410
45,3391865
46,3250886
47,3163219
48,2954759
49,3313985
50,3545965
51,2586575
52,2624013
53,3642839
54,4557064
55,2970640
56,2407908
57,2297173
58,2307808
59,2402061
60,4636399
61,2601772
62,2104858
63,2069130
64,2560176
65,3058850
66,2441032
67,2794505
68,4466775
69,1983727
70,3488567
71,2317434
72,2056995
73,2028296
74,3137388
75,5673381
76,1618133
77,2107555
78,3472173
79,4237210
80,1856021
81,2178650
82,2689219
83,3510665
84,3789965
85,1560745
86,4124233
87,1318373
88,681656
89,2292510
90,5380420
91,1270600
92,2850838
93,884130
94,2148147
95,1093139
96,5564942
97,2054791
98,4703730
99,1946003
100,1798266
101,3847545
102,1707261
103,2461623
104,5965162
105,3490877
106,982488
107,3557513
108,3694197
109,3215434
110,4193797
111,4048879
112,5699618
113,2453753
114,1625961
115,949642
116,3581642
117,1265057
118,1705716
119,606521
120,3609612
121,1225648
122,1572396
123,2076379
124,3300591
125,4424668
126,986218
127,2118658
128,5848403
129,991629
130,1092223
131,3316850
132,927027
133,1648355
134,2422707
135,710367
136,617040
137,816980
138,937603
139,2902102
140,1100623
141,1005149
142,697566
143,3667722
144,3818153
145,1014149
146,1460385
147,1743938
148,1075087
149,1178500
150,4405545
151,1520920
152,4800586
153,3744732
154,1932075
155,2641985
156,3273679
157,1375844
158,1403298
159,1832717
160,2949879
161,841350
162,1094148
163,3034506
164,3200687
165,656550
166,768359
167,2369957
168,2212488
169,1569083
170,678952
171,2623666
172,631990
173,2418544
174,1264626
175,1528675
176,937809
177,1565132
178,1968961
179,5056475
180,2910239
181,3301841
182,551650
183,1342073
184,1094305
185,2039074
186,2112913
187,1606724
188,3445697
189,1640648
190,693019
191,966116
192,318868
193,1904869
194,1681269
195,1573411
196,739527
197,1715876
198,5231005
199,640738
200,1647172
201,4556112
202,1139413
203,861063
204,628853
205,1422170
206,2482074
207,3150654
208,1975447
209,2254162
210,4182331
211,5080236
212,914137
213,3310653
214,2275581
215,359505
216,4050472
217,3266537
218,1700440
219,3050451
220,876919
221,1937981
222,2216927
223,1177438
224,562789
225,394243
226,2590370
227,1229143
228,1233399
229,1855631
230,718412
231,2483941
232,1532302
233,5991241
234,1024800
235,726810
236,731872
237,5962586
238,1084008
239,2106976
240,1632656
241,1465252
242,593004
243,754412
244,1272751
245,5700208
246,1589278
247,713675
248,2211664
249,609317
250,1822949
251,4896200
252,785251
253,673088
254,611281
255,791604
256,5481697
257,4378194
258,587362
259,636963
260,2755680
261,667695
262,753231
263,1140370
264,844374
265,509940
266,1544950
267,1401540
268,1250718
269,1586680
270,1565950
271,723695
272,788727
273,4940513
274,2019361
275,5750796
276,874765
277,6072695
278,1522083
279,855830
280,1647788
281,3608329
282,1845342
283,1906696
284,2828877
285,4572587
286,3167616
287,766142
288,5136018
289,940633
290,1121913
291,3998252
292,3310566
293,527085
294,3924830
295,5763492
296,635131
297,879386
298,1912941
299,2465579
300,439448
301,986282
302,2774756
303,1891541
304,3890853
305,1593766
306,6299387
307,4378320
308,1421341
309,1972272
310,2763965
311,1383430
312,1754916
313,3495530
314,4957627
315,2308701
316,2626322
317,3850004
318,6303665
319,513097
320,622157
321,2402713
322,754817
323,5289749
324,1665290
325,450745
326,6361712
327,1468378
328,6277178
329,5022287
330,1849237
331,6529546
332,4713365
333,4743639
334,3983895
335,4151918
336,760684
337,3550995
338,489343
339,3372968
340,823477
341,1740050
342,6559751
343,6543144
344,1323239
345,453801
346,880344
347,420020
348,500384
349,474313
350,457073
351,3077981
352,449979
353,454103
354,5434235
355,433612
356,442256
357,457161
358,435246
359,470793
360,5787757
361,3399296
362,3230425
363,2451562
364,2410854
365,2124949
366,2084215
367,2155912
368,2041719
369,2041143
370,394812
371,3322746
372,438862
373,2216006
374,5532055
375,420075
376,3413993
377,796069
378,32583
379,4882159
380,441738
381,390028
382,802035
383,1525689
384,1971938
385,2124859
386,482604
387,427688
388,599458
389,1550484
390,4974797
391,1258203
392,414679
393,660096
394,1467426
395,5231778
396,4476147
397,5744015
398,386225
399,5808028
400,6485449
401,332328
