node,stake
0,9070447
1,3057708
2,2772085
3,2688147
4,1850263
5,1831794
6,1621330
7,1206499
8,1190070
9,1152878
10,1132272
11,1093290
12,977801
13,908967
14,905877
15,892784
16,891530
17,855184
18,816030
19,805194
20,755074
21,738456
22,717318
23,634435
24,593847
25,567993
26,560683
27,522509
28,481346
29,440198
30,415546
31,404561
32,401788
33,401491
34,400852
35,334143
36,334041
37,327942
38,316939
39,301021
40,271902
41,234259
42,233215
43,226458
44,209138
45,200002
46,196639
47,185873
48,177369
49,176350
50,174634
51,172162
52,149999
53,148922
54,144887
55,141634
56,132209
57,127256
58,125990
59,102132
60,101800
61,100598
62,95485
63,94179
64,91302
65,86674
66,85839
67,85075
68,80476
69,76071
70,75996
71,75872
72,75222
73,71075
74,70248
75,70089
76,69792
77,67997
78,67061
79,64337
80,64158
81,63819
82,63811
83,60892
84,60216
85,58987
86,58918
87,58181
88,57382
89,55669
90,55321
91,54944
92,54544
93,54496
94,53469
95,53351
96,53313
97,53242
98,52770
99,52748
100,52225
101,52184
102,52153
103,52086
104,51956
105,51795
106,51160
107,51104
108,50953
109,50934
110,50784
111,50578
112,50445
113,50251
114,50231
115,50191
116,50108
117,48198
118,47567
119,47194
120,46755
121,46271
122,45598
123,44871
124,44359
125,44334
126,44235
127,43872
128,43395
129,43332
130,41956
131,41761
132,41041
133,40976
134,40295
135,40018
136,39971
137,39966
138,39922
139,39919
140,39887
141,39772
142,39525
143,39487
144,39463
145,39439
146,39291
147,39241
148,39131
149,39131
150,39130
151,38982
152,38835
153,38791
154,38721
155,38645
156,38511
157,38486
158,38377
159,37970
160,37677
161,37674
162,37599
163,36841
164,35550
165,31815
166,24345
167,16789
168,15403
169,9225
170,6437
171,6083
172,5253
173,4517
174,4275
175,3857
176,3814
177,3755
178,3683
179,3261
180,3043
181,2081
182,1943
183,1803
184,1654
185,1189
186,1088
187,1058
188,1010
189,999
190,833
191,808
192,800
193,796
194,680
195,651
196,502
197,492
198,469
199,452
200,404
201,381
202,377
203,373
204,358
205,358
206,353
207,321
208,307
209,289
210,282
211,249
212,218
213,217
214,206
215,188
216,170
217,161
218,156
219,154
220,154
221,152
222,150
223,141
224,133
225,128
226,120
227,118
228,116
229,114
230,113
231,112
232,110
233,110
234,110
235,110
236,110
237,110
238,104
239,102
240,101
241,101
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,99
289,81
290,58
291,50
292,48
293,43
294,31
295,20
296,18
297,13
298,11
299,10
300,10
301,10
302,10
303,6
304,5
305,4
306,3
307,2
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
