node,stake
0,14668629
1,11962648
2,9148904
3,8806801
4,8635263
5,8605542
6,6665232
7,6600004
8,6088445
9,5936274
10,5799900
11,5644312
12,4811794
13,4676925
14,4523191
15,4477048
16,4109832
17,4029575
18,4029544
19,3960426
20,3578032
21,3240917
22,3161307
23,3074457
24,3012681
25,2988401
26,2930805
27,2889642
28,2877263
29,2874908
30,2868728
31,2814558
32,2795580
33,2795556
34,2789438
35,2783978
36,2780635
37,2746779
38,2735443
39,2640407
40,2608126
41,2597811
42,2508915
43,2429163
44,2400662
45,2327079
46,1879737
47,1835866
48,1820723
49,1596817
50,1507574
51,1428024
52,1415429
53,1357589
54,1350673
55,1343714
56,1303079
57,1247625
58,1246757
59,1199842
60,1188781
61,1181245
62,1181076
63,1071138
64,1053055
65,998675
66,992586
67,986062
68,975195
69,966054
70,886414
71,876537
72,865517
73,837610
74,824348
75,822378
76,704897
77,704314
78,668574
79,626244
80,539937
81,534382
82,515195
83,502482
84,485461
85,479040
86,475928
87,408796
88,400189
89,358152
90,353589
91,352867
92,348866
93,333940
94,333367
95,322812
96,321759
97,303029
98,299879
99,291449
100,287506
101,284254
102,274881
103,267772
104,257636
105,253997
106,247323
107,246201
108,236081
109,235268
110,233333
111,220030
112,215979
113,203768
114,201259
115,201033
116,200325
117,199994
118,195702
119,194692
120,193710
121,193279
122,189267
123,186796
124,179337
125,178655
126,176521
127,174815
128,169244
129,165030
130,161111
131,155718
132,154510
133,154269
134,154171
135,154170
136,154170
137,154170
138,154170
139,154169
140,154152
141,154151
142,154126
143,153870
144,153212
145,151342
146,151169
147,151126
148,151094
149,151015
150,150932
151,150903
152,149122
153,148366
154,147466
155,145209
156,143079
157,142314
158,140876
159,139984
160,138682
161,138332
162,138126
163,137521
164,136341
165,135724
166,135032
167,134828
168,134772
169,133711
170,133337
171,133219
172,132590
173,132243
174,132196
175,131591
176,131552
177,130711
178,130409
179,130379
180,130069
181,129934
182,129846
183,129807
184,129775
185,129563
186,129397
187,129126
188,128472
189,127814
190,127361
191,127329
192,126921
193,126703
194,126423
195,125798
196,125583
197,125566
198,125342
199,125058
200,124877
201,124848
202,124799
203,124695
204,124238
205,124094
206,124078
207,124070
208,123815
209,123792
210,123694
211,123629
212,123584
213,123404
214,123388
215,123277
216,122981
217,122981
218,122937
219,122909
220,122856
221,122842
222,122651
223,122354
224,122306
225,122254
226,122159
227,122089
228,121962
229,121936
230,121922
231,121845
232,121803
233,121791
